actionid,casenumber,actionposition,actiontypecode,actiontype,actionstatuscode,utcstartdate,utcenddate,duration,actioneditororganisation,actioneditordepartment,actioncreatororganisation,actioncreatordepartment,referencetype,actioncallstate
933048491,***MASKED***,8,10,Outgoing call,20,2024-01-10 00:04:51.000000,2024-01-10 00:12:16.000000,7.416666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933050174,***MASKED***,3,10,Outgoing call,20,2024-01-10 01:35:03.000000,2024-01-10 01:39:07.000000,4.066666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933066252,***MASKED***,7,10,Outgoing call,20,2024-01-10 10:08:36.000000,2024-01-10 10:14:15.000000,5.65,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933077472,***MASKED***,17,10,Outgoing call,20,2024-01-10 14:29:21.000000,2024-01-10 14:37:20.000000,7.983333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933077749,***MASKED***,6,10,Outgoing call,20,2024-01-10 14:35:33.000000,2024-01-10 14:53:00.000000,17.45,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933078875,***MASKED***,12,10,Outgoing call,20,2024-01-10 15:02:12.000000,2024-01-10 15:03:24.000000,1.2,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933085063,***MASKED***,13,10,Outgoing call,20,2024-01-10 20:06:06.000000,2024-01-10 20:13:04.000000,6.966666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933091879,***MASKED***,4,10,Outgoing call,20,2024-01-11 04:58:54.000000,2024-01-11 07:48:49.000000,169.91666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Busy
933096814,***MASKED***,22,10,Outgoing call,20,2024-01-11 07:30:16.000000,2024-01-11 07:36:30.000000,6.233333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933116890,***MASKED***,4,10,Outgoing call,20,2024-01-11 14:04:11.000000,2024-01-11 14:16:02.000000,11.85,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
